     r start (m)       r end (m)  v start (ms-1)    v end (ms-1)    accel (ms-2)     t start (s)       t end (s)
   6371000.00000   6364629.00000         0.00000       352.84820         9.77098         0.00000        36.11843
   6364629.00000   6358258.00000       352.84820       499.08602         9.77751        36.11843        51.07524
   6358258.00000   6351887.00000       499.08602       611.34423         9.78299        51.07524        62.55016
   6351887.00000   6345516.00000       611.34423       706.01048         9.78724        62.55016        72.22263
   6345516.00000   6339145.00000       706.01048       789.42668         9.78996        72.22263        80.74322
   6339145.00000   6332774.00000       789.42668       864.84610         9.79158        80.74322        88.44571
   6332774.00000   6326403.00000       864.84610       934.20788         9.79325        88.44571        95.52833
   6326403.00000   6320032.00000       934.20788       998.77518         9.79497        95.52833       102.12022
   6320032.00000   6313661.00000       998.77518      1059.42511         9.79671       102.12022       108.31107
   6313661.00000   6307290.00000      1059.42511      1116.79620         9.79848       108.31107       114.16618
   6307290.00000   6300919.00000      1116.79620      1171.37047         9.80027       114.16618       119.73483
   6300919.00000   6294548.00000      1171.37047      1223.52233         9.80208       119.73483       125.05533
   6294548.00000   6288177.00000      1223.52233      1273.54954         9.80392       125.05533       130.15811
   6288177.00000   6281806.00000      1273.54954      1321.69355         9.80579       130.15811       135.06786
   6281806.00000   6275435.00000      1321.69355      1368.15325         9.80768       135.06786       139.80494
   6275435.00000   6269064.00000      1368.15325      1413.09487         9.80959       139.80494       144.38634
   6269064.00000   6262693.00000      1413.09487      1456.65902         9.81152       144.38634       148.82644
   6262693.00000   6256322.00000      1456.65902      1498.96588         9.81347       148.82644       153.13754
   6256322.00000   6249951.00000      1498.96588      1540.11912         9.81543       153.13754       157.33026
   6249951.00000   6243580.00000      1540.11912      1580.20895         9.81741       157.33026       161.41380
   6243580.00000   6237209.00000      1580.20895      1619.31451         9.81943       161.41380       165.39627
   6237209.00000   6230838.00000      1619.31451      1657.50563         9.82149       165.39627       169.28480
   6230838.00000   6224467.00000      1657.50563      1694.84426         9.82359       169.28480       173.08572
   6224467.00000   6218096.00000      1694.84426      1731.38572         9.82573       173.08572       176.80467
   6218096.00000   6211725.00000      1731.38572      1767.17971         9.82794       176.80467       180.44674
   6211725.00000   6205354.00000      1767.17971      1802.27082         9.83017       180.44674       184.01648
   6205354.00000   6198983.00000      1802.27082      1836.69936         9.83240       184.01648       187.51802
   6198983.00000   6192612.00000      1836.69936      1870.50195         9.83464       187.51802       190.95512
   6192612.00000   6186241.00000      1870.50195      1903.71200         9.83690       190.95512       194.33118
   6186241.00000   6179870.00000      1903.71200      1936.35986         9.83912       194.33118       197.64935
   6179870.00000   6173499.00000      1936.35986      1968.47355         9.84136       197.64935       200.91249
   6173499.00000   6167128.00000      1968.47355      2000.07919         9.84372       200.91249       204.12323
   6167128.00000   6160757.00000      2000.07919      2031.20074         9.84615       204.12323       207.28402
   6160757.00000   6154386.00000      2031.20074      2061.86029         9.84864       207.28402       210.39709
   6154386.00000   6148015.00000      2061.86029      2092.07808         9.85111       210.39709       213.46454
   6148015.00000   6141644.00000      2092.07808      2121.87224         9.85333       213.46454       216.48831
   6141644.00000   6135273.00000      2121.87224      2151.26024         9.85550       216.48831       219.47020
   6135273.00000   6128902.00000      2151.26024      2180.25849         9.85767       219.47020       222.41189
   6128902.00000   6122531.00000      2180.25849      2208.88234         9.85984       222.41189       225.31497
   6122531.00000   6116160.00000      2208.88234      2237.14615         9.86201       225.31497       228.18089
   6116160.00000   6109789.00000      2237.14615      2265.06341         9.86418       228.18089       231.01106
   6109789.00000   6103418.00000      2265.06341      2292.64678         9.86635       231.01106       233.80676
   6103418.00000   6097047.00000      2292.64678      2319.90811         9.86850       233.80676       236.56922
   6097047.00000   6090676.00000      2319.90811      2346.85866         9.87066       236.56922       239.29960
   6090676.00000   6084305.00000      2346.85866      2373.50906         9.87284       239.29960       241.99896
   6084305.00000   6077934.00000      2373.50906      2399.86936         9.87503       241.99896       244.66835
   6077934.00000   6071563.00000      2399.86936      2425.94904         9.87724       244.66835       247.30873
   6071563.00000   6065192.00000      2425.94904      2451.75710         9.87946       247.30873       249.92103
   6065192.00000   6058821.00000      2451.75710      2477.30204         9.88169       249.92103       252.50610
   6058821.00000   6052450.00000      2477.30204      2502.59188         9.88391       252.50610       255.06479
   6052450.00000   6046079.00000      2502.59188      2527.63432         9.88613       255.06479       257.59788
   6046079.00000   6039708.00000      2527.63432      2552.43670         9.88839       257.59788       260.10611
   6039708.00000   6033337.00000      2552.43670      2577.00602         9.89067       260.10611       262.59021
   6033337.00000   6026966.00000      2577.00602      2601.34893         9.89297       262.59021       265.05083
   6026966.00000   6020595.00000      2601.34893      2625.47175         9.89528       265.05083       267.48864
   6020595.00000   6014224.00000      2625.47175      2649.38050         9.89759       267.48864       269.90426
   6014224.00000   6007853.00000      2649.38050      2673.08060         9.89977       269.90426       272.29826
   6007853.00000   6001482.00000      2673.08060      2696.57766         9.90199       272.29826       274.67123
   6001482.00000   5995111.00000      2696.57766      2719.87715         9.90431       274.67123       277.02369
   5995111.00000   5988740.00000      2719.87715      2742.98425         9.90668       277.02369       279.35617
   5988740.00000   5982369.00000      2742.98425      2765.90382         9.90906       279.35617       281.66915
   5982369.00000   5975998.00000      2765.90382      2788.64041         9.91143       281.66915       283.96313
   5975998.00000   5969627.00000      2788.64041      2811.19830         9.91371       283.96313       286.23856
   5969627.00000   5963256.00000      2811.19830      2833.58041         9.91540       286.23856       288.49586
   5963256.00000   5956885.00000      2833.58041      2855.79027         9.91682       288.49586       290.73548
   5956885.00000   5950514.00000      2855.79027      2877.83185         9.91823       290.73548       292.95781
   5950514.00000   5944143.00000      2877.83185      2899.70894         9.91962       292.95781       295.16325
   5944143.00000   5937772.00000      2899.70894      2921.42521         9.92100       295.16325       297.35217
   5937772.00000   5931401.00000      2921.42521      2942.98419         9.92236       297.35217       299.52493
   5931401.00000   5925030.00000      2942.98419      2964.38927         9.92370       299.52493       301.68190
   5925030.00000   5918659.00000      2964.38927      2985.64374         9.92503       301.68190       303.82340
   5918659.00000   5912288.00000      2985.64374      3006.75072         9.92634       303.82340       305.94976
   5912288.00000   5905917.00000      3006.75072      3027.71328         9.92763       305.94976       308.06130
   5905917.00000   5899546.00000      3027.71328      3048.53438         9.92891       308.06130       310.15832
   5899546.00000   5893175.00000      3048.53438      3069.21687         9.93018       310.15832       312.24111
   5893175.00000   5886804.00000      3069.21687      3089.76352         9.93144       312.24111       314.30996
   5886804.00000   5880433.00000      3089.76352      3110.17699         9.93269       314.30996       316.36514
   5880433.00000   5874062.00000      3110.17699      3130.45986         9.93392       316.36514       318.40692
   5874062.00000   5867691.00000      3130.45986      3150.61459         9.93513       318.40692       320.43555
   5867691.00000   5861320.00000      3150.61459      3170.64349         9.93626       320.43555       322.45129
   5861320.00000   5854949.00000      3170.64349      3190.54893         9.93740       322.45129       324.45438
   5854949.00000   5848578.00000      3190.54893      3210.33323         9.93855       324.45438       326.44504
   5848578.00000   5842207.00000      3210.33323      3229.99865         9.93971       326.44504       328.42351
   5842207.00000   5835836.00000      3229.99865      3249.54733         9.94087       328.42351       330.39000
   5835836.00000   5829465.00000      3249.54733      3268.98136         9.94203       330.39000       332.34474
   5829465.00000   5823094.00000      3268.98136      3288.30277         9.94317       332.34474       334.28792
   5823094.00000   5816723.00000      3288.30277      3307.51357         9.94435       334.28792       336.21975
   5816723.00000   5810352.00000      3307.51357      3326.61585         9.94561       336.21975       338.14043
   5810352.00000   5803981.00000      3326.61585      3345.61125         9.94676       338.14043       340.05013
   5803981.00000   5797610.00000      3345.61125      3364.50137         9.94780       340.05013       341.94906
   5797610.00000   5791239.00000      3364.50137      3383.28781         9.94875       341.94906       343.83738
   5791239.00000   5784868.00000      3383.28781      3401.97214         9.94962       343.83738       345.71528
   5784868.00000   5778497.00000      3401.97214      3420.55594         9.95044       345.71528       347.58291
   5778497.00000   5772126.00000      3420.55594      3439.04075         9.95122       347.58291       349.44046
   5772126.00000   5765755.00000      3439.04075      3457.42816         9.95198       349.44046       351.28807
   5765755.00000   5759384.00000      3457.42816      3475.71972         9.95277       351.28807       353.12591
   5759384.00000   5753013.00000      3475.71972      3493.91701         9.95358       353.12591       354.95412
   5753013.00000   5746642.00000      3493.91701      3512.02153         9.95441       354.95412       356.77286
   5746642.00000   5740271.00000      3512.02153      3530.03475         9.95527       356.77286       358.58228
   5740271.00000   5733900.00000      3530.03475      3547.95804         9.95613       358.58228       360.38251
   5733900.00000   5727529.00000      3547.95804      3565.79237         9.95675       360.38251       362.17369
   5727529.00000   5721158.00000      3565.79237      3583.53936         9.95755       362.17369       363.95595
   5721158.00000   5714787.00000      3583.53936      3601.20066         9.95855       363.95595       365.72943
   5714787.00000   5708416.00000      3601.20066      3618.77768         9.95964       365.72943       367.49426
   5708416.00000   5702045.00000      3618.77768      3636.27162         9.96071       367.49426       369.25055
   5702045.00000   5695674.00000      3636.27162      3653.68223         9.96096       369.25055       370.99844
   5695674.00000   5689303.00000      3653.68223      3671.00839         9.95988       370.99844       372.73803
   5689303.00000   5682932.00000      3671.00839      3688.25129         9.95879       372.73803       374.46946
   5682932.00000   5676561.00000      3688.25129      3705.41212         9.95773       374.46946       376.19282
   5676561.00000   5670190.00000      3705.41212      3722.49206         9.95669       376.19282       377.90825
   5670190.00000   5663819.00000      3722.49206      3739.49224         9.95566       377.90825       379.61584
   5663819.00000   5657448.00000      3739.49224      3756.41376         9.95465       379.61584       381.31570
   5657448.00000   5651077.00000      3756.41376      3773.25769         9.95364       381.31570       383.00794
   5651077.00000   5644706.00000      3773.25769      3790.02513         9.95267       383.00794       384.69265
   5644706.00000   5638335.00000      3790.02513      3806.71713         9.95172       384.69265       386.36995
   5638335.00000   5631964.00000      3806.71713      3823.33462         9.95074       386.36995       388.03993
   5631964.00000   5625593.00000      3823.33462      3839.87852         9.94972       388.03993       389.70268
   5625593.00000   5619222.00000      3839.87852      3856.34972         9.94868       389.70268       391.35829
   5619222.00000   5612851.00000      3856.34972      3872.74912         9.94762       391.35829       393.00687
   5612851.00000   5606480.00000      3872.74912      3889.07760         9.94654       393.00687       394.64849
   5606480.00000   5600109.00000      3889.07760      3905.33603         9.94545       394.64849       396.28325
   5600109.00000   5593738.00000      3905.33603      3921.52540         9.94443       396.28325       397.91123
   5593738.00000   5587367.00000      3921.52540      3937.64670         9.94350       397.91123       399.53252
   5587367.00000   5580996.00000      3937.64670      3953.70077         9.94257       399.53252       401.14720
   5580996.00000   5574625.00000      3953.70077      3969.68842         9.94164       401.14720       402.75535
   5574625.00000   5568254.00000      3969.68842      3985.61046         9.94072       402.75535       404.35705
   5568254.00000   5561883.00000      3985.61046      4001.46769         9.93980       404.35705       405.95238
   5561883.00000   5555512.00000      4001.46769      4017.26087         9.93888       405.95238       407.54141
   5555512.00000   5549141.00000      4017.26087      4032.99076         9.93797       407.54141       409.12422
   5549141.00000   5542770.00000      4032.99076      4048.65811         9.93706       409.12422       410.70088
   5542770.00000   5536399.00000      4048.65811      4064.26364         9.93615       410.70088       412.27146
   5536399.00000   5530028.00000      4064.26364      4079.80807         9.93525       412.27146       413.83603
   5530028.00000   5523657.00000      4079.80807      4095.29211         9.93435       413.83603       415.39467
   5523657.00000   5517286.00000      4095.29211      4110.71643         9.93346       415.39467       416.94743
   5517286.00000   5510915.00000      4110.71643      4126.08173         9.93257       416.94743       418.49439
   5510915.00000   5504544.00000      4126.08173      4141.38865         9.93168       418.49439       420.03561
   5504544.00000   5498173.00000      4141.38865      4156.63785         9.93080       420.03561       421.57116
   5498173.00000   5491802.00000      4156.63785      4171.82997         9.92992       421.57116       423.10109
   5491802.00000   5485431.00000      4171.82997      4186.96564         9.92905       423.10109       424.62547
   5485431.00000   5479060.00000      4186.96564      4202.04547         9.92818       424.62547       426.14437
   5479060.00000   5472689.00000      4202.04547      4217.07007         9.92732       426.14437       427.65783
   5472689.00000   5466318.00000      4217.07007      4232.04004         9.92646       427.65783       429.16591
   5466318.00000   5459947.00000      4232.04004      4246.95596         9.92560       429.16591       430.66869
   5459947.00000   5453576.00000      4246.95596      4261.81840         9.92475       430.66869       432.16620
   5453576.00000   5447205.00000      4261.81840      4276.62792         9.92390       432.16620       433.65851
   5447205.00000   5440834.00000      4276.62792      4291.38509         9.92306       433.65851       435.14567
   5440834.00000   5434463.00000      4291.38509      4306.09045         9.92222       435.14567       436.62773
   5434463.00000   5428092.00000      4306.09045      4320.74454         9.92139       436.62773       438.10475
   5428092.00000   5421721.00000      4320.74454      4335.34787         9.92056       438.10475       439.57678
   5421721.00000   5415350.00000      4335.34787      4349.90098         9.91974       439.57678       441.04386
   5415350.00000   5408979.00000      4349.90098      4364.40436         9.91892       441.04386       442.50605
   5408979.00000   5402608.00000      4364.40436      4378.85853         9.91811       442.50605       443.96341
   5402608.00000   5396237.00000      4378.85853      4393.26398         9.91731       443.96341       445.41596
   5396237.00000   5389866.00000      4393.26398      4407.62120         9.91652       445.41596       446.86377
   5389866.00000   5383495.00000      4407.62120      4421.93068         9.91573       446.86377       448.30688
   5383495.00000   5377124.00000      4421.93068      4436.19288         9.91495       448.30688       449.74533
   5377124.00000   5370753.00000      4436.19288      4450.40826         9.91417       449.74533       451.17918
   5370753.00000   5364382.00000      4450.40826      4464.57727         9.91340       451.17918       452.60845
   5364382.00000   5358011.00000      4464.57727      4478.70035         9.91263       452.60845       454.03321
   5358011.00000   5351640.00000      4478.70035      4492.77795         9.91186       454.03321       455.45349
   5351640.00000   5345269.00000      4492.77795      4506.81050         9.91109       455.45349       456.86933
   5345269.00000   5338898.00000      4506.81050      4520.79842         9.91033       456.86933       458.28078
   5338898.00000   5332527.00000      4520.79842      4534.74214         9.90958       458.28078       459.68788
   5332527.00000   5326156.00000      4534.74214      4548.64206         9.90883       459.68788       461.09066
   5326156.00000   5319785.00000      4548.64206      4562.49859         9.90808       461.09066       462.48916
   5319785.00000   5313414.00000      4562.49859      4576.31213         9.90734       462.48916       463.88344
   5313414.00000   5307043.00000      4576.31213      4590.08309         9.90661       463.88344       465.27352
   5307043.00000   5300672.00000      4590.08309      4603.81185         9.90588       465.27352       466.65943
   5300672.00000   5294301.00000      4603.81185      4617.49878         9.90515       466.65943       468.04123
   5294301.00000   5287930.00000      4617.49878      4631.14423         9.90440       468.04123       469.41895
   5287930.00000   5281559.00000      4631.14423      4644.74859         9.90367       469.41895       470.79262
   5281559.00000   5275188.00000      4644.74859      4658.31224         9.90296       470.79262       472.16227
   5275188.00000   5268817.00000      4658.31224      4671.83555         9.90225       472.16227       473.52796
   5268817.00000   5262446.00000      4671.83555      4685.31888         9.90156       473.52796       474.88969
   5262446.00000   5256075.00000      4685.31888      4698.76260         9.90087       474.88969       476.24753
   5256075.00000   5249704.00000      4698.76260      4712.16706         9.90021       476.24753       477.60148
   5249704.00000   5243333.00000      4712.16706      4725.53261         9.89955       477.60148       478.95160
   5243333.00000   5236962.00000      4725.53261      4738.85960         9.89890       478.95160       480.29791
   5236962.00000   5230591.00000      4738.85960      4752.14836         9.89827       480.29791       481.64044
   5230591.00000   5224220.00000      4752.14836      4765.39924         9.89765       481.64044       482.97923
   5224220.00000   5217849.00000      4765.39924      4778.61256         9.89704       482.97923       484.31431
   5217849.00000   5211478.00000      4778.61256      4791.78866         9.89644       484.31431       485.64571
   5211478.00000   5205107.00000      4791.78866      4804.92784         9.89586       485.64571       486.97345
   5205107.00000   5198736.00000      4804.92784      4818.03044         9.89529       486.97345       488.29758
   5198736.00000   5192365.00000      4818.03044      4831.09678         9.89474       488.29758       489.61811
   5192365.00000   5185994.00000      4831.09678      4844.12719         9.89422       489.61811       490.93508
   5185994.00000   5179623.00000      4844.12719      4857.12196         9.89370       490.93508       492.24852
   5179623.00000   5173252.00000      4857.12196      4870.08139         9.89319       492.24852       493.55846
   5173252.00000   5166881.00000      4870.08139      4883.00576         9.89268       493.55846       494.86492
   5166881.00000   5160510.00000      4883.00576      4895.89536         9.89218       494.86492       496.16793
   5160510.00000   5154139.00000      4895.89536      4908.75047         9.89168       496.16793       497.46751
   5154139.00000   5147768.00000      4908.75047      4921.57137         9.89119       497.46751       498.76371
   5147768.00000   5141397.00000      4921.57137      4934.35833         9.89071       498.76371       500.05653
   5141397.00000   5135026.00000      4934.35833      4947.11164         9.89024       500.05653       501.34602
   5135026.00000   5128655.00000      4947.11164      4959.83155         9.88977       501.34602       502.63219
   5128655.00000   5122284.00000      4959.83155      4972.51834         9.88931       502.63219       503.91506
   5122284.00000   5115913.00000      4972.51834      4985.17226         9.88886       503.91506       505.19468
   5115913.00000   5109542.00000      4985.17226      4997.79359         9.88842       505.19468       506.47105
   5109542.00000   5103171.00000      4997.79359      5010.38257         9.88799       506.47105       507.74421
   5103171.00000   5096800.00000      5010.38257      5022.93945         9.88756       507.74421       509.01418
   5096800.00000   5090429.00000      5022.93945      5035.46447         9.88712       509.01418       510.28098
   5090429.00000   5084058.00000      5035.46447      5047.95786         9.88669       510.28098       511.54464
   5084058.00000   5077687.00000      5047.95786      5060.41989         9.88627       511.54464       512.80518
   5077687.00000   5071316.00000      5060.41989      5072.85080         9.88587       512.80518       514.06262
   5071316.00000   5064945.00000      5072.85080      5085.25084         9.88549       514.06262       515.31699
   5064945.00000   5058574.00000      5085.25084      5097.62026         9.88512       515.31699       516.56831
   5058574.00000   5052203.00000      5097.62026      5109.95930         9.88477       516.56831       517.81659
   5052203.00000   5045832.00000      5109.95930      5122.26820         9.88443       517.81659       519.06187
   5045832.00000   5039461.00000      5122.26820      5134.54718         9.88411       519.06187       520.30417
   5039461.00000   5033090.00000      5134.54718      5146.79649         9.88380       520.30417       521.54350
   5033090.00000   5026719.00000      5146.79649      5159.01636         9.88351       521.54350       522.77989
   5026719.00000   5020348.00000      5159.01636      5171.20701         9.88323       522.77989       524.01336
   5020348.00000   5013977.00000      5171.20701      5183.36867         9.88297       524.01336       525.24393
   5013977.00000   5007606.00000      5183.36867      5195.50155         9.88272       525.24393       526.47161
   5007606.00000   5001235.00000      5195.50155      5207.60588         9.88249       526.47161       527.69644
   5001235.00000   4994864.00000      5207.60588      5219.68189         9.88228       527.69644       528.91843
   4994864.00000   4988493.00000      5219.68189      5231.72981         9.88210       528.91843       530.13759
   4988493.00000   4982122.00000      5231.72981      5243.74984         9.88194       530.13759       531.35396
   4982122.00000   4975751.00000      5243.74984      5255.74220         9.88178       531.35396       532.56754
   4975751.00000   4969380.00000      5255.74220      5267.70707         9.88163       532.56754       533.77836
   4969380.00000   4963009.00000      5267.70707      5279.64467         9.88149       533.77836       534.98643
   4963009.00000   4956638.00000      5279.64467      5291.55517         9.88136       534.98643       536.19178
   4956638.00000   4950267.00000      5291.55517      5303.43879         9.88124       536.19178       537.39443
   4950267.00000   4943896.00000      5303.43879      5315.29570         9.88114       537.39443       538.59438
   4943896.00000   4937525.00000      5315.29570      5327.12611         9.88104       538.59438       539.79167
   4937525.00000   4931154.00000      5327.12611      5338.93019         9.88095       539.79167       540.98630
   4931154.00000   4924783.00000      5338.93019      5350.70815         9.88087       540.98630       542.17829
   4924783.00000   4918412.00000      5350.70815      5362.46016         9.88081       542.17829       543.36767
   4918412.00000   4912041.00000      5362.46016      5374.18641         9.88076       543.36767       544.55445
   4912041.00000   4905670.00000      5374.18641      5385.88708         9.88072       544.55445       545.73864
   4905670.00000   4899299.00000      5385.88708      5397.56236         9.88069       545.73864       546.92027
   4899299.00000   4892928.00000      5397.56236      5409.21239         9.88065       546.92027       548.09934
   4892928.00000   4886557.00000      5409.21239      5420.83735         9.88062       548.09934       549.27588
   4886557.00000   4880186.00000      5420.83735      5432.43742         9.88061       549.27588       550.44991
   4880186.00000   4873815.00000      5432.43742      5444.01278         9.88062       550.44991       551.62143
   4873815.00000   4867444.00000      5444.01278      5455.56362         9.88065       551.62143       552.79046
   4867444.00000   4861073.00000      5455.56362      5467.09011         9.88070       552.79046       553.95703
   4861073.00000   4854702.00000      5467.09011      5478.59242         9.88076       553.95703       555.12114
   4854702.00000   4848331.00000      5478.59242      5490.07073         9.88085       555.12114       556.28281
   4848331.00000   4841960.00000      5490.07073      5501.52521         9.88095       556.28281       557.44206
   4841960.00000   4835589.00000      5501.52521      5512.95604         9.88107       557.44206       558.59890
   4835589.00000   4829218.00000      5512.95604      5524.36338         9.88121       558.59890       559.75335
   4829218.00000   4822847.00000      5524.36338      5535.74739         9.88137       559.75335       560.90542
   4822847.00000   4816476.00000      5535.74739      5547.10825         9.88155       560.90542       562.05512
   4816476.00000   4810105.00000      5547.10825      5558.44611         9.88175       562.05512       563.20248
   4810105.00000   4803734.00000      5558.44611      5569.76115         9.88197       563.20248       564.34750
   4803734.00000   4797363.00000      5569.76115      5581.05351         9.88220       564.34750       565.49019
   4797363.00000   4790992.00000      5581.05351      5592.32339         9.88248       565.49019       566.63058
   4790992.00000   4784621.00000      5592.32339      5603.57094         9.88278       566.63058       567.76868
   4784621.00000   4778250.00000      5603.57094      5614.79631         9.88309       567.76868       568.90449
   4778250.00000   4771879.00000      5614.79631      5625.99964         9.88341       568.90449       570.03804
   4771879.00000   4765508.00000      5625.99964      5637.18110         9.88375       570.03804       571.16934
   4765508.00000   4759137.00000      5637.18110      5648.34081         9.88410       571.16934       572.29840
   4759137.00000   4752766.00000      5648.34081      5659.47893         9.88446       572.29840       573.42523
   4752766.00000   4746395.00000      5659.47893      5670.59559         9.88484       573.42523       574.54985
   4746395.00000   4740024.00000      5670.59559      5681.69094         9.88523       574.54985       575.67226
   4740024.00000   4733653.00000      5681.69094      5692.76513         9.88564       575.67226       576.79249
   4733653.00000   4727282.00000      5692.76513      5703.81829         9.88606       576.79249       577.91055
   4727282.00000   4720911.00000      5703.81829      5714.85055         9.88650       577.91055       579.02644
   4720911.00000   4714540.00000      5714.85055      5725.86207         9.88696       579.02644       580.14018
   4714540.00000   4708169.00000      5725.86207      5736.85298         9.88743       580.14018       581.25178
   4708169.00000   4701798.00000      5736.85298      5747.82341         9.88792       581.25178       582.36126
   4701798.00000   4695427.00000      5747.82341      5758.77349         9.88842       582.36126       583.46863
   4695427.00000   4689056.00000      5758.77349      5769.70335         9.88892       583.46863       584.57389
   4689056.00000   4682685.00000      5769.70335      5780.61313         9.88945       584.57389       585.67706
   4682685.00000   4676314.00000      5780.61313      5791.50295         9.89000       585.67706       586.77816
   4676314.00000   4669943.00000      5791.50295      5802.37297         9.89057       586.77816       587.87719
   4669943.00000   4663572.00000      5802.37297      5813.22330         9.89116       587.87719       588.97416
   4663572.00000   4657201.00000      5813.22330      5824.05409         9.89177       588.97416       590.06909
   4657201.00000   4650830.00000      5824.05409      5834.86547         9.89240       590.06909       591.16199
   4650830.00000   4644459.00000      5834.86547      5845.65757         9.89306       591.16199       592.25286
   4644459.00000   4638088.00000      5845.65757      5856.43051         9.89373       592.25286       593.34173
   4638088.00000   4631717.00000      5856.43051      5867.18444         9.89443       593.34173       594.42859
   4631717.00000   4625346.00000      5867.18444      5877.91947         9.89516       594.42859       595.51347
   4625346.00000   4618975.00000      5877.91947      5888.63574         9.89590       595.51347       596.59637
   4618975.00000   4612604.00000      5888.63574      5899.33337         9.89667       596.59637       597.67730
   4612604.00000   4606233.00000      5899.33337      5910.01249         9.89746       597.67730       598.75628
   4606233.00000   4599862.00000      5910.01249      5920.67322         9.89827       598.75628       599.83331
   4599862.00000   4593491.00000      5920.67322      5931.31569         9.89911       599.83331       600.90840
   4593491.00000   4587120.00000      5931.31569      5941.94001         9.89997       600.90840       601.98157
   4587120.00000   4580749.00000      5941.94001      5952.54632         9.90085       601.98157       603.05282
   4580749.00000   4574378.00000      5952.54632      5963.13474         9.90175       603.05282       604.12217
   4574378.00000   4568007.00000      5963.13474      5973.70537         9.90268       604.12217       605.18962
   4568007.00000   4561636.00000      5973.70537      5984.25835         9.90364       605.18962       606.25519
   4561636.00000   4555265.00000      5984.25835      5994.79380         9.90462       606.25519       607.31888
   4555265.00000   4548894.00000      5994.79380      6005.31183         9.90562       607.31888       608.38070
   4548894.00000   4542523.00000      6005.31183      6015.81255         9.90665       608.38070       609.44067
   4542523.00000   4536152.00000      6015.81255      6026.29609         9.90770       609.44067       610.49879
   4536152.00000   4529781.00000      6026.29609      6036.76256         9.90878       610.49879       611.55507
   4529781.00000   4523410.00000      6036.76256      6047.21208         9.90988       611.55507       612.60953
   4523410.00000   4517039.00000      6047.21208      6057.64476         9.91101       612.60953       613.66216
   4517039.00000   4510668.00000      6057.64476      6068.06072         9.91217       613.66216       614.71299
   4510668.00000   4504297.00000      6068.06072      6078.46006         9.91334       614.71299       615.76201
   4504297.00000   4497926.00000      6078.46006      6088.84291         9.91455       615.76201       616.80925
   4497926.00000   4491555.00000      6088.84291      6099.20936         9.91578       616.80925       617.85470
   4491555.00000   4485184.00000      6099.20936      6109.55954         9.91704       617.85470       618.89837
   4485184.00000   4478813.00000      6109.55954      6119.89355         9.91832       618.89837       619.94028
   4478813.00000   4472442.00000      6119.89355      6130.21150         9.91964       619.94028       620.98044
   4472442.00000   4466071.00000      6130.21150      6140.51350         9.92097       620.98044       622.01885
   4466071.00000   4459700.00000      6140.51350      6150.79967         9.92234       622.01885       623.05551
   4459700.00000   4453329.00000      6150.79967      6161.07010         9.92373       623.05551       624.09045
   4453329.00000   4446958.00000      6161.07010      6171.32490         9.92515       624.09045       625.12366
   4446958.00000   4440587.00000      6171.32490      6181.56419         9.92660       625.12366       626.15516
   4440587.00000   4434216.00000      6181.56419      6191.78806         9.92808       626.15516       627.18496
   4434216.00000   4427845.00000      6191.78806      6201.99662         9.92958       627.18496       628.21305
   4427845.00000   4421474.00000      6201.99662      6212.18998         9.93111       628.21305       629.23946
   4421474.00000   4415103.00000      6212.18998      6222.36824         9.93268       629.23946       630.26418
   4415103.00000   4408732.00000      6222.36824      6232.53150         9.93427       630.26418       631.28723
   4408732.00000   4402361.00000      6232.53150      6242.67987         9.93589       631.28723       632.30862
   4402361.00000   4395990.00000      6242.67987      6252.81345         9.93753       632.30862       633.32835
   4395990.00000   4389619.00000      6252.81345      6262.93234         9.93921       633.32835       634.34642
   4389619.00000   4383248.00000      6262.93234      6273.03664         9.94092       634.34642       635.36286
   4383248.00000   4376877.00000      6273.03664      6283.12645         9.94266       635.36286       636.37766
   4376877.00000   4370506.00000      6283.12645      6293.20187         9.94442       636.37766       637.39083
   4370506.00000   4364135.00000      6293.20187      6303.26301         9.94622       637.39083       638.40239
   4364135.00000   4357764.00000      6303.26301      6313.30996         9.94805       638.40239       639.41233
   4357764.00000   4351393.00000      6313.30996      6323.34282         9.94991       639.41233       640.42067
   4351393.00000   4345022.00000      6323.34282      6333.36169         9.95180       640.42067       641.42740
   4345022.00000   4338651.00000      6333.36169      6343.36666         9.95372       641.42740       642.43255
   4338651.00000   4332280.00000      6343.36666      6353.35784         9.95568       642.43255       643.43612
   4332280.00000   4325909.00000      6353.35784      6363.33532         9.95766       643.43612       644.43811
   4325909.00000   4319538.00000      6363.33532      6373.29919         9.95968       644.43811       645.43853
   4319538.00000   4313167.00000      6373.29919      6383.24956         9.96173       645.43853       646.43739
   4313167.00000   4306796.00000      6383.24956      6393.18651         9.96381       646.43739       647.43470
   4306796.00000   4300425.00000      6393.18651      6403.11015         9.96593       647.43470       648.43045
   4300425.00000   4294054.00000      6403.11015      6413.02057         9.96807       648.43045       649.42467
   4294054.00000   4287683.00000      6413.02057      6422.91785         9.97025       649.42467       650.41735
   4287683.00000   4281312.00000      6422.91785      6432.80211         9.97247       650.41735       651.40850
   4281312.00000   4274941.00000      6432.80211      6442.67342         9.97472       651.40850       652.39814
   4274941.00000   4268570.00000      6442.67342      6452.53188         9.97700       652.39814       653.38626
   4268570.00000   4262199.00000      6452.53188      6462.37759         9.97931       653.38626       654.37287
   4262199.00000   4255828.00000      6462.37759      6472.21063         9.98166       654.37287       655.35798
